movieId,rating
185,3.5
260,4.0
296,4.5
318,4.5
357,4.0
364,3.0
377,3.5
480,4.0
527,4.5
541,3.5
590,3.0
593,4.0
648,3.5
858,4.5
924,4.0
1036,4.5
1136,4.0
1198,4.0
1208,3.0
1210,5.0
1214,3.0
1240,3.5
2628,3.0
2683,3.0
2716,3.0
2762,4.0
2959,5.0
3147,4.5
3793,3.5
4886,5.0
4995,4.0
5349,3.0
5418,5.0
5445,4.5
5816,4.5
7153,4.0
68954,5.0
32,4.0
165,4.0
350,4.5
442,3.0
903,5.0
1552,3.0
1584,4.5
1682,5.0
1732,4.0
1784,4.0
1923,5.0
2006,4.0
2078,4.5
2324,3.0
4022,5.0
4720,4.5
4973,4.0
5459,3.0
5952,5.0
6711,5.0
35836,4.5
45499,3.0
50872,4.5
60069,4.5
69122,4.5
72998,4.0
74458,4.0
76093,3.5
78499,4.0
1196,4.5
1201,5.0
1203,5.0
1291,4.5
1270,4.0
1197,4.0
356,5.0
1073,4.0
2329,4.5
49272,4.0
32587,3.5
8874,4.5
1,4.0
588,3.5
4306,5.0
500,3.5
2355,4.0
8961,4.0
6539,4.5
3948,4.5
5218,4.5
1391,4.0
1917,3.5
597,4.0
339,3.0
551,4.0
110,4.5
71535,4.5
457,4.0
166528,4.5
187595,3.5
61160,4.0
33493,5.0
780,3.5
153,4.0
1101,3.0
